DTMOV,CODPROD,DESCRICAO,CODFILIAL,FORN_ENT,FORNECEDOR
11/12/2020 00:00,451,CHAMBINHO CHOCOLATE 16X320G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,453,CHANDELLE CHOCOLATE 18X360G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,759,CHAMYTO LEITE FERMENTADO 21X6X75G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1506,NESTLE IOG VIT DE FRUTA 12X900G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1510,NESTLE IOGURTE MORANGO 12X1.250G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1511,NESTLE IOGURTE MORANGO 12X900G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1512,NESTLE IOGURTE VIT DE FRUTA 12X1.250G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1517,NESTON IOGURTE LIQ MACA E BAN 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1519,NESTLE GREGO IOG TRAD + MRG 6X600G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1520,CHAMYTO GO IOG LIQ VITAMINA 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1521,CHAMYTO GO IOG LIQ MORANGO 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1693,NINHO IOGURTE LIQ MACA E BANANA 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1697,CHANDELLE CHOCOLATE 6X720G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1698,CHAMYTO LEITE FERM 21X6X120G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1939,NESTLE GREGO FRUTAS VERMELHAS 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
