DESCRICAO;Cod_filial;FILIAL;CODPROD;CODFORNEC;FORNECEDOR;EMBALAGEM;QTESTGER;QTINDENIZ;CUSTOULTENT;QTRESERV;QTPENDENTE;Estoque_d
NESTLE GREGO TORTA MARACUJA 24X90G;1;ATACADO;1940;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;291;0;1,366178;8;0;283
NESTLE GREGO TRADICIONAL 24X90G;1;ATACADO;1941;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;326;0;1,366178;8;0;318
CHAMYTO IOGURTE PROTEINA TURBO 24X100G;1;ATACADO;1942;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;100G;0;0;1,379358;0;0;0
MOLICO IOGURTE LIQ MRG 12X850G;1;ATACADO;2099;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;253;0;7,189533;0;0;253
MOLICO IOGURTE LIQ MRG 24X170G;1;ATACADO;2100;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;367;0;1,72472;22;0;345
NESFIT IOGURTE FRUTAS VERM 12X850G;1;ATACADO;2037;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;162;0;7,312883;0;0;162
NESFIT IOGURTE MORANGO BAUN 12X850G;1;ATACADO;2038;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;324;0;7,312854;0;0;324
NESFIT IOGURTE MARACUJA AVEIA 12X850G;1;ATACADO;2039;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;162;0;7,312883;0;0;162
NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;1;ATACADO;2040;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;164;6;1,932241;6;0;158
NESFIT IOGURTE MARACUJA AVEIA 24X170G;1;ATACADO;2041;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;123;8;1,932241;3;0;120
NESTLE GREGO TORTA LIMAO 24X90G;1;ATACADO;1963;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;333;0;1,366178;7;0;326
NESTLE GREGO FRUTAS VERMELHAS 24X90G;1;ATACADO;1939;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;338;2;1,366178;9;0;329
CHAMBINHO PETIT MRG 64X80G;1;ATACADO;2347;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;64X80G;0;0;0,825112;0;0;0
MOLICO IOGURTE LIQ BAUN 12X850G;1;ATACADO;2664;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;108;0;7,189867;0;0;108
